,Pathway,Correct
0,"['C00082', 'C00355', 'C10447', 'C01197', 'C01494', 'C05619', 'C00482', 'C05610', 'C02325', 'C01533']",False
1,"['C00223', 'C12096', 'C00029', 'C00761']",False
2,"['C00811', 'C01197', 'C01494', 'C05619', 'C00482', 'C01175', 'C02887']",True
3,"['C00079', 'C00082', 'C01179', 'C03964', 'C22205', 'C00223', 'C00540', 'C00903']",False
4,"['C00223', 'C12096', 'C00029', 'C17750']",False
5,"['C06561', 'C00509', 'C16492', 'C01460']",True
6,"['C05903', 'C00974', 'C00509', 'C06561', 'C00223', 'C12636']",False
7,"['C01477', 'C04608', 'C00029', 'C00167', 'C04900']",False
8,"['C05903', 'C00389', 'C10107', 'C12633', 'C11620']",True
9,"['C05905', 'C08604', 'C08639', 'C12096', 'C16299']",False
10,"['C05904', 'C12137', 'C12640', 'C12641', 'C12647']",False
11,"['C05908', 'C12138', 'C16301', 'C16303']",False
12,"['C00078', 'C00398', 'C21762', 'C21778', 'C07576']",False
13,"['C06160', 'C06161', 'C06517', 'C06520', 'C02105', 'C02106', 'C04118', 'C03329', 'C02915', 'C21586', 'C21587', 'C21588', 'C21589', 'C21590', 'C21591', 'C20299']",False
14,"['C05191', 'C05247', 'C05194', 'C05193', 'C05316', 'C06165']",True
15,"['C00079', 'C01456', 'C02046', 'C10860']",False
16,"['C00047', 'C00408']",False
17,"['C07481', 'C07130', 'C00385']",False
18,"['C00082', 'C00355', 'C17758', 'C08538', 'C08557']",False
19,"['C08539', 'C08540', 'C08537', 'C08542']",True
20,"['C00441', 'C00155', 'C00109', 'C00188', 'C20917', 'C20918', 'C20921']",False
21,"['C01121', 'C04767', 'C01221', 'C01138', 'C00413']",True
22,"['C02627', 'C20353', 'C20614', 'C21251', 'C01822']",False
23,"['C00043', 'C17587', 'C01759']",False
24,"['C00043', 'C21261', 'C21262', 'C21263']",False
25,"['C12468', 'C20629', 'C12474', 'C12475', 'C12476', 'C05080']",True
26,"['C08588', 'C19867', 'C00029', 'C08589']",False
27,"['C20953', 'C21085', 'C21086', 'C21087', 'C20940', 'C20941', 'C20942']",True
28,"['C00002', 'C00024', 'C07028', 'C07029', 'C07030', 'C07031', 'C07032', 'C01610']",False
29,"['C00047', 'C01028', 'C03955', 'C05554']",False
30,"['C00750', 'C00315', 'C20560', 'C00179', 'C00436', 'C00169', 'C00064', 'C00025', 'C00026', 'C00106']",False
31,"['C00418', 'C01107', 'C01143', 'C00129', 'C00448', 'C01126', 'C03461']",True
32,"['C00341', 'C00521', 'C01123', 'C02485', 'C11951', 'C09893', 'C00843', 'C00400']",False
33,"['C00341', 'C06074', 'C20943', 'C20944']",True
34,"['C11899', 'C11700', 'C11900', 'C07394']",False
35,"['C05413', 'C05414', 'C05430', 'C05432', 'C19795', 'C15874', 'C15877', 'C15878', 'C15879', 'C15881']",False
36,"['C05413', 'C05414', 'C05430', 'C05431', 'C15892', 'C15898', 'C15900']",True
37,"['C01789', 'C15795', 'C16252', 'C16253', 'C15800', 'C15792', 'C15791']",False
38,"['C01126', 'C03461', 'C16502', 'C16504', 'C16506', 'C16505', 'C16507']",False
39,"['C00082', 'C01179', 'C00642', 'C01161', 'C05582']",False
40,"['C00180', 'C00512', 'C19684', 'C19683', 'C19682', 'C14144', 'C14145', 'C02232', 'C00091']",False
41,"['C09822', 'C09823', 'C09811', 'C09812', 'C09813', 'C01063', 'C06723', 'C06714', 'C06715']",True
42,"['C06789', 'C06790', 'C14866', 'C07490', 'C14869', 'C00167', 'C00029', 'C12640', 'C12641', 'C00083', 'C00024']",False
43,"['C01455', 'C00556', 'C00261', 'C00180', 'C00512']",False
44,"['C06756', 'C06757', 'C06758', 'C01454', 'C06729', 'C06730']",True
45,"['C16391', 'C16393', 'C16395', 'C16396', 'C16400']",False
46,"['C07083', 'C20782', 'C00601', 'C00166', 'C00026', 'C01087', 'C00256', 'C00186']",False
47,"['C11249', 'C00854', 'C00414', 'C04316', 'C00024', 'C02232']",False
48,"['C00829', 'C14786', 'C11713', 'C03012', 'C06204', 'C06203', 'C06202', 'C00805']",False
49,"['C07535', 'C18270', 'C18279', 'C18277', 'C18283']",True
