Reaction,Equation
R1,cpd00482 --> cpd00061 + cpd27222
R2,cpd00482 --> cpd00169
R3,C00118 + cpd00006 + cpd27222 <-- cpd00169 + cpd00005 + cpd00067
R4,C00118 --> cpd00095
R5,cpd00095 + cpd00022 --> C20960 + cpd22528
R6,cpd00095 + cpd00022 --> C20960 + cpd22528
R7,2 cpd00022 --> cpd22528 + C00332
R8,C01144 + cpd00003 <-- C00332 + cpd00004 + cpd00067
R9,C01144 --> C00877 + cpd27222
R10,C00136 + cpd00003 <-- C00877 + cpd00004 + cpd00067
R11,C01412 + cpd22528 + cpd00003 <-- C00136 + cpd00004 + cpd00067
R12,C01412 + cpd00004 + cpd00067 --> C06142 + cpd00003
